mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__C,param_classification__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.512724733352661,0.4199226617999476,0.01159811019897461,0.005955827417980015,1,0,"{'classification__C': 1, 'classification__gamma': 0}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
6.446956396102905,0.3125870267305534,0.011989927291870118,0.004083479663358607,1,0.1,"{'classification__C': 1, 'classification__gamma': 0.1}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
6.422192811965942,0.24610945370186607,0.008298158645629883,0.001205929535157643,1,0.01,"{'classification__C': 1, 'classification__gamma': 0.01}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
6.4261863231658936,0.2559622176027158,0.010053730010986328,0.005300115868424702,1,0.001,"{'classification__C': 1, 'classification__gamma': 0.001}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
6.504917144775391,0.5999317172544923,0.006380844116210938,0.00046187999816606483,1,0.25,"{'classification__C': 1, 'classification__gamma': 0.25}",0.5443037974683544,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5392405063291139,0.006201239855147319,43
5.730785799026489,0.36796154967541367,0.008763551712036133,0.001995669291482853,1,0.5,"{'classification__C': 1, 'classification__gamma': 0.5}",0.569620253164557,0.569620253164557,0.5316455696202531,0.5822784810126582,0.5949367088607594,0.569620253164557,0.021181266494533564,42
5.912451505661011,0.467398226500197,0.010652780532836914,0.007282578730423685,1,0.75,"{'classification__C': 1, 'classification__gamma': 0.75}",0.6075949367088608,0.569620253164557,0.5569620253164557,0.6075949367088608,0.620253164556962,0.5924050632911392,0.024545214467930784,40
6.153511953353882,0.1933732578486747,0.0067498207092285155,0.0008422502754727236,1,1,"{'classification__C': 1, 'classification__gamma': 1}",0.5949367088607594,0.569620253164557,0.569620253164557,0.6075949367088608,0.620253164556962,0.5924050632911392,0.020253164556962,40
6.030345249176025,0.3588852310804417,0.006225204467773438,0.0009280198672214894,10,0,"{'classification__C': 10, 'classification__gamma': 0}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
6.288152599334717,0.7858718307687058,0.006946706771850586,0.0007565276399821542,10,0.1,"{'classification__C': 10, 'classification__gamma': 0.1}",0.7215189873417721,0.7088607594936709,0.8354430379746836,0.7088607594936709,0.7088607594936709,0.7367088607594937,0.0496099188411783,2
6.310834550857544,0.5620784237063937,0.008884620666503907,0.0009308955815136091,10,0.01,"{'classification__C': 10, 'classification__gamma': 0.01}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
7.04302453994751,0.4567861347411278,0.010183477401733398,0.00678887700779589,10,0.001,"{'classification__C': 10, 'classification__gamma': 0.001}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
6.145108556747436,0.4658729379265349,0.012604951858520508,0.008409889976619187,10,0.25,"{'classification__C': 10, 'classification__gamma': 0.25}",0.7215189873417721,0.6962025316455697,0.8227848101265823,0.7088607594936709,0.7341772151898734,0.7367088607594936,0.044860873789036346,3
6.229523849487305,0.32160242111253406,0.00838174819946289,0.0003818943700001362,10,0.5,"{'classification__C': 10, 'classification__gamma': 0.5}",0.7215189873417721,0.6708860759493671,0.8354430379746836,0.7088607594936709,0.7088607594936709,0.7291139240506329,0.05581115869632557,12
6.932747173309326,0.2665233231591235,0.009416007995605468,0.002185562682885959,10,0.75,"{'classification__C': 10, 'classification__gamma': 0.75}",0.7215189873417721,0.6835443037974683,0.7974683544303798,0.7088607594936709,0.7088607594936709,0.7240506329113925,0.03872673048298319,18
6.831009578704834,0.5375260248782848,0.008818292617797851,0.0010879496747262288,10,1,"{'classification__C': 10, 'classification__gamma': 1}",0.7215189873417721,0.6582278481012658,0.7341772151898734,0.6962025316455697,0.7088607594936709,0.7037974683544304,0.026064886432878496,33
6.759987735748291,0.4143355635017168,0.0067287921905517575,7.26125457636188e-05,100,0,"{'classification__C': 100, 'classification__gamma': 0}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
6.83941535949707,0.26926894605371565,0.008326911926269531,0.000610766746452971,100,0.1,"{'classification__C': 100, 'classification__gamma': 0.1}",0.6962025316455697,0.6962025316455697,0.8227848101265823,0.7088607594936709,0.6962025316455697,0.7240506329113925,0.0496099188411783,18
6.87855978012085,0.23401932405288373,0.007910013198852539,0.0003537293936465269,100,0.01,"{'classification__C': 100, 'classification__gamma': 0.01}",0.7215189873417721,0.7088607594936709,0.8227848101265823,0.7088607594936709,0.7088607594936709,0.7341772151898734,0.044574219902934226,10
6.472540473937988,0.5115375675108108,0.012498235702514649,0.009708005482176435,100,0.001,"{'classification__C': 100, 'classification__gamma': 0.001}",0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5443037974683544,0.5443037974683544,0.5367088607594936,0.006201239855147319,44
