mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__C,param_classification__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.638943910598755,0.3318768870589523,0.012486648559570313,0.001768754204188976,1,0,"{'classification__C': 1, 'classification__gamma': 0}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
7.823286485671997,0.530606882957892,0.016039371490478516,0.0013477449641936252,1,0.1,"{'classification__C': 1, 'classification__gamma': 0.1}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
7.792096185684204,0.4610450726046205,0.017513370513916014,0.0024122544036947434,1,0.01,"{'classification__C': 1, 'classification__gamma': 0.01}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
8.172238159179688,0.5529576233017114,0.015751981735229494,0.0006346066390724184,1,0.001,"{'classification__C': 1, 'classification__gamma': 0.001}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
7.74296989440918,0.2695813893325256,0.02289242744445801,0.013834370994915239,1,0.25,"{'classification__C': 1, 'classification__gamma': 0.25}",0.5419847328244275,0.549618320610687,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5451790957134468,0.0028987895081872533,43
7.731441783905029,0.21597831947629492,0.016193342208862305,0.002343673179180536,1,0.5,"{'classification__C': 1, 'classification__gamma': 0.5}",0.549618320610687,0.5648854961832062,0.549618320610687,0.5692307692307692,0.5615384615384615,0.5589782736347623,0.008022230955426592,42
7.580458641052246,0.33611279777314423,0.015243101119995116,0.0008530934254861457,1,0.75,"{'classification__C': 1, 'classification__gamma': 0.75}",0.5572519083969466,0.5648854961832062,0.5572519083969466,0.5769230769230769,0.5692307692307692,0.5651086318261891,0.007484372055583544,40
7.7193036556243895,0.4425066186556241,0.020890283584594726,0.009386803156525661,1,1,"{'classification__C': 1, 'classification__gamma': 1}",0.5572519083969466,0.5725190839694656,0.5572519083969466,0.5769230769230769,0.5692307692307692,0.5666353493834408,0.008041017401877893,39
7.276470279693603,0.4988331351102777,0.012115383148193359,8.829262889445739e-05,10,0,"{'classification__C': 10, 'classification__gamma': 0}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
7.7711845397949215,0.28792925173102063,0.016315984725952148,0.0004800602558887725,10,0.1,"{'classification__C': 10, 'classification__gamma': 0.1}",0.6335877862595419,0.6335877862595419,0.6564885496183206,0.6461538461538462,0.6307692307692307,0.6401174398120963,0.009768451270821354,3
7.727949380874634,0.6240328846181564,0.01767868995666504,0.003184363260466428,10,0.01,"{'classification__C': 10, 'classification__gamma': 0.01}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
7.999980640411377,0.5132132933659763,0.01597743034362793,0.0003006015029467887,10,0.001,"{'classification__C': 10, 'classification__gamma': 0.001}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
7.931708717346192,0.25613328181960715,0.021161794662475586,0.007892398233072733,10,0.25,"{'classification__C': 10, 'classification__gamma': 0.25}",0.6259541984732825,0.6183206106870229,0.6412213740458015,0.6307692307692307,0.6076923076923076,0.624791544333529,0.01132502256171264,21
8.248947715759277,0.07780825011797181,0.022476005554199218,0.01156170102424352,10,0.5,"{'classification__C': 10, 'classification__gamma': 0.5}",0.6335877862595419,0.6335877862595419,0.6412213740458015,0.6307692307692307,0.6307692307692307,0.6339870816206694,0.003830482702411491,10
7.606595849990844,0.19621598869067075,0.018445158004760744,0.0032738168096114965,10,0.75,"{'classification__C': 10, 'classification__gamma': 0.75}",0.6106870229007634,0.5725190839694656,0.5954198473282443,0.6384615384615384,0.6384615384615384,0.61110980622431,0.025423736597139,27
7.686934518814087,0.15604138441968185,0.017452096939086913,0.0013757951542011338,10,1,"{'classification__C': 10, 'classification__gamma': 1}",0.6030534351145038,0.5725190839694656,0.5954198473282443,0.5923076923076923,0.6153846153846154,0.5957369348209043,0.014074738895851304,33
7.544437980651855,0.10877344685038888,0.012462949752807618,0.0005325922190443419,100,0,"{'classification__C': 100, 'classification__gamma': 0}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
7.881853294372559,0.27923830572702896,0.019483566284179688,0.0065701262370817855,100,0.1,"{'classification__C': 100, 'classification__gamma': 0.1}",0.6412213740458015,0.6259541984732825,0.648854961832061,0.6384615384615384,0.6153846153846154,0.6339753376394598,0.01186581547986519,16
7.997666645050049,0.12990161823646726,0.01678357124328613,0.0009140442045540668,100,0.01,"{'classification__C': 100, 'classification__gamma': 0.01}",0.6335877862595419,0.6259541984732825,0.6641221374045801,0.6615384615384615,0.6153846153846154,0.6401174398120963,0.019442387009863143,3
8.001831769943237,0.2017507674341858,0.02735271453857422,0.01699860636394102,100,0.001,"{'classification__C': 100, 'classification__gamma': 0.001}",0.5419847328244275,0.5419847328244275,0.5419847328244275,0.5461538461538461,0.5461538461538461,0.5436523781561948,0.0020424400673823,44
